filename,speaker,index,model,recording_length_s,duration_s,rtf,word_count,words_per_sec,avg_confidence,wer
VN1-RATML-DANNY.m4a,DANNY,1,vosk-model-small-en-us-0.15,6.8267,1.5364,0.2251,18,11.7157,0.9756,8.5
VN2-RATML-ANIKA.m4a,ANIKA,2,vosk-model-small-en-us-0.15,7.808,1.3834,0.1772,19,13.7343,0.9021,1.0
VN3-RATML-KEVIN.m4a,KEVIN,3,vosk-model-small-en-us-0.15,7.5733,1.3181,0.174,16,12.1387,0.9793,2.1667
VN4-RATML-DECLAN.m4a,DECLAN,4,vosk-model-small-en-us-0.15,8.128,1.621,0.1994,20,12.3381,0.8707,1.0
VN5-RATML-ANTON.m4a,ANTON,5,vosk-model-small-en-us-0.15,11.4773,1.7151,0.1494,20,11.6611,0.8267,0.7647
VN6-RATML-DANNY.m4a,DANNY,6,vosk-model-small-en-us-0.15,5.7387,1.1998,0.2091,16,13.3356,0.9563,4.3333
VN7-RATML-ANIKA.m4a,ANIKA,7,vosk-model-small-en-us-0.15,6.1867,1.2964,0.2095,18,13.8846,0.9631,2.8
VN8-RATML-KEVIN.m4a,KEVIN,8,vosk-model-small-en-us-0.15,7.744,1.5055,0.1944,19,12.6204,0.9709,0.6667
VN9-RATML-DECLAN.m4a,DECLAN,9,vosk-model-small-en-us-0.15,8.5973,1.5023,0.1747,16,10.6503,0.9733,0.125
VN10-RATML-ANTON.m4a,ANTON,10,vosk-model-small-en-us-0.15,8.0,1.502,0.1878,17,11.3182,0.8324,5.0
VN11-RATML-DANNY.m4a,DANNY,11,vosk-model-small-en-us-0.15,6.4,1.4245,0.2226,23,16.146,0.926,3.1667
VN12-RATML-ANIKA.m4a,ANIKA,12,vosk-model-small-en-us-0.15,7.0827,1.4792,0.2088,17,11.4927,0.9479,0.1176
VN13-RATML-KEVIN.m4a,KEVIN,13,vosk-model-small-en-us-0.15,5.9947,1.3905,0.232,18,12.945,0.9049,1.75
VN14-RATML-DECLAN.m4a,DECLAN,14,vosk-model-small-en-us-0.15,5.9093,1.3679,0.2315,15,10.9657,0.9745,2.75
VN15-RATML-ANTON.m4a,ANTON,15,vosk-model-small-en-us-0.15,10.5813,1.8272,0.1727,21,11.493,0.8481,2.125
VN16-RATML-DANNY.m4a,DANNY,16,vosk-model-small-en-us-0.15,6.9333,1.3726,0.198,17,12.3853,0.9604,8.0
VN17-RATML-ANIKA.m4a,ANIKA,17,vosk-model-small-en-us-0.15,5.5893,1.2324,0.2205,17,13.7942,0.9743,2.0
VN18-RATML-KEVIN.m4a,KEVIN,18,vosk-model-small-en-us-0.15,5.952,1.2476,0.2096,13,10.42,0.916,0.2308
VN19-RATML-DECLAN.m4a,DECLAN,19,vosk-model-small-en-us-0.15,6.6987,1.3298,0.1985,16,12.0319,0.8287,0.25
VN20-RATML-ANTON.m4a,ANTON,20,vosk-model-small-en-us-0.15,7.1253,1.5266,0.2143,12,7.8606,0.9723,1.3333
VN21-RATML-DANNY.m4a,DANNY,21,vosk-model-small-en-us-0.15,6.5707,1.3537,0.206,17,12.5582,0.9877,0.1765
VN22-RATML-ANIKA.m4a,ANIKA,22,vosk-model-small-en-us-0.15,4.736,1.1818,0.2495,15,12.6925,0.9707,0.5
VN23-RATML-KEVIN.m4a,KEVIN,23,vosk-model-small-en-us-0.15,5.6533,1.3236,0.2341,10,7.5552,0.9163,0.3
VN24-RATML-DECLAN.m4a,DECLAN,24,vosk-model-small-en-us-0.15,5.5253,1.2631,0.2286,17,13.459,0.9828,0.25
VN25-RATML-ANTON.m4a,ANTON,25,vosk-model-small-en-us-0.15,7.4667,1.4176,0.1899,17,11.9921,0.952,3.5
VN26-RATML-DANNY.m4a,DANNY,26,vosk-model-small-en-us-0.15,4.288,1.0542,0.2458,10,9.4859,1.0,0.4444
TOTAL,,,vosk-model-small-en-us-0.15,,39.339,,434,,,
